08/24/25 - 01:08:17.162866 [trace] Detected BookMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:08:17.162947 [debug] Patches loaded for Interface/BookMenu.swf: 0
08/24/25 - 01:08:17.162953 [debug] 
08/24/25 - 01:08:17.168388 [trace] Detected Book movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:08:17.168442 [debug] Patches loaded for Interface/Book.swf: 0
08/24/25 - 01:08:17.168448 [debug] 
08/24/25 - 01:08:23.887439 [trace] Detected TweenMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:08:23.887508 [debug] Patches loaded for Interface/TweenMenu.swf: 0
08/24/25 - 01:08:23.887514 [debug] 
08/24/25 - 01:08:23.889398 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:08:23.889443 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:08:23.889450 [debug] 
08/24/25 - 01:08:24.959603 [trace] Detected InventoryMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:08:24.959674 [debug] Patches loaded for Interface/InventoryMenu.swf: 0
08/24/25 - 01:08:24.959681 [debug] 
08/24/25 - 01:08:24.971471 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:08:24.971518 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:08:24.971524 [debug] 
08/24/25 - 01:08:24.972711 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:08:24.972749 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:08:24.972754 [debug] 
08/24/25 - 01:08:29.218054 [trace] Detected MessageBox movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:08:29.218121 [debug] Patches loaded for Interface/MessageBox.swf: 0
08/24/25 - 01:08:29.218127 [debug] 
08/24/25 - 01:08:29.221077 [trace] Detected DurabilityMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:08:29.221132 [debug] Patches loaded for Interface/DurabilityMenu.swf: 0
08/24/25 - 01:08:29.221138 [debug] 
08/24/25 - 01:08:34.957851 [trace] Detected BookMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:08:34.957948 [debug] Patches loaded for Interface/BookMenu.swf: 0
08/24/25 - 01:08:34.957958 [debug] 
08/24/25 - 01:08:34.963067 [trace] Detected Book movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:08:34.963121 [debug] Patches loaded for Interface/Book.swf: 0
08/24/25 - 01:08:34.963127 [debug] 
08/24/25 - 01:08:41.590058 [trace] Detected DialogueMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:08:41.590140 [debug] Patches loaded for Interface/DialogueMenu.swf: 0
08/24/25 - 01:08:41.590147 [debug] 
08/24/25 - 01:08:41.592205 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:08:41.592249 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:08:41.592255 [debug] 
08/24/25 - 01:12:31.595064 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:12:31.595139 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:12:31.595148 [debug] 
08/24/25 - 01:12:31.780846 [trace] Detected StatsMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:12:31.780942 [debug] Patches loaded for Interface/StatsMenu.swf: 0
08/24/25 - 01:12:31.780948 [debug] 
08/24/25 - 01:12:33.253845 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:12:33.253902 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:12:33.253908 [debug] 
08/24/25 - 01:12:51.188034 [trace] Detected DialogueMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:12:51.188097 [debug] Patches loaded for Interface/DialogueMenu.swf: 0
08/24/25 - 01:12:51.188102 [debug] 
08/24/25 - 01:12:51.190152 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:12:51.190200 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:12:51.190209 [debug] 
08/24/25 - 01:13:14.538325 [trace] Detected DialogueMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:13:14.538387 [debug] Patches loaded for Interface/DialogueMenu.swf: 0
08/24/25 - 01:13:14.538393 [debug] 
08/24/25 - 01:13:14.540969 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:13:14.541022 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:13:14.541029 [debug] 
08/24/25 - 01:13:28.158860 [trace] Detected DialogueMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:13:28.158919 [debug] Patches loaded for Interface/DialogueMenu.swf: 0
08/24/25 - 01:13:28.158925 [debug] 
08/24/25 - 01:13:28.161423 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:13:28.161476 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:13:28.161482 [debug] 
08/24/25 - 01:13:37.773333 [trace] Detected MessageBox movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:13:37.773393 [debug] Patches loaded for Interface/MessageBox.swf: 0
08/24/25 - 01:13:37.773399 [debug] 
08/24/25 - 01:13:37.776857 [trace] Detected DurabilityMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:13:37.776931 [debug] Patches loaded for Interface/DurabilityMenu.swf: 0
08/24/25 - 01:13:37.776939 [debug] 
08/24/25 - 01:13:48.457190 [trace] Detected MessageBox movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:13:48.457249 [debug] Patches loaded for Interface/MessageBox.swf: 0
08/24/25 - 01:13:48.457255 [debug] 
08/24/25 - 01:13:48.460493 [trace] Detected DurabilityMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:13:48.460537 [debug] Patches loaded for Interface/DurabilityMenu.swf: 0
08/24/25 - 01:13:48.460543 [debug] 
08/24/25 - 01:14:49.835449 [trace] Detected DialogueMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:14:49.835511 [debug] Patches loaded for Interface/DialogueMenu.swf: 0
08/24/25 - 01:14:49.835518 [debug] 
08/24/25 - 01:14:49.837830 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:14:49.837881 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:14:49.837887 [debug] 
08/24/25 - 01:15:47.714565 [trace] Detected FavoritesMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:15:47.714642 [debug] Patches loaded for Interface/FavoritesMenu.swf: 0
08/24/25 - 01:15:47.714648 [debug] 
08/24/25 - 01:15:47.718904 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:15:47.718955 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:15:47.718961 [debug] 
08/24/25 - 01:15:47.740382 [trace] Detected FavoritesMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:15:47.740458 [debug] Patches loaded for Interface/FavoritesMenu.swf: 0
08/24/25 - 01:15:47.740464 [debug] 
08/24/25 - 01:15:47.744030 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:15:47.744090 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:15:47.744096 [debug] 
08/24/25 - 01:16:00.695343 [trace] Detected SleepWaitMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:16:00.695418 [debug] Patches loaded for Interface/SleepWaitMenu.swf: 0
08/24/25 - 01:16:00.695424 [debug] 
08/24/25 - 01:16:00.697282 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:16:00.697333 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:16:00.697339 [debug] 
08/24/25 - 01:16:30.246654 [trace] Detected MessageBox movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:16:30.246714 [debug] Patches loaded for Interface/MessageBox.swf: 0
08/24/25 - 01:16:30.246720 [debug] 
08/24/25 - 01:16:30.249988 [trace] Detected DurabilityMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:16:30.250036 [debug] Patches loaded for Interface/DurabilityMenu.swf: 0
08/24/25 - 01:16:30.250042 [debug] 
08/24/25 - 01:16:31.169404 [trace] Detected DialogueMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:16:31.169463 [debug] Patches loaded for Interface/DialogueMenu.swf: 0
08/24/25 - 01:16:31.169469 [debug] 
08/24/25 - 01:16:31.171516 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:16:31.171562 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:16:31.171568 [debug] 
08/24/25 - 01:16:41.357143 [trace] Detected DialogueMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:16:41.357221 [debug] Patches loaded for Interface/DialogueMenu.swf: 0
08/24/25 - 01:16:41.357228 [debug] 
08/24/25 - 01:16:41.360136 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:16:41.360194 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:16:41.360201 [debug] 
08/24/25 - 01:17:23.827594 [trace] Detected SleepWaitMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:17:23.827674 [debug] Patches loaded for Interface/SleepWaitMenu.swf: 0
08/24/25 - 01:17:23.827681 [debug] 
08/24/25 - 01:17:23.829567 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:17:23.829618 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:17:23.829624 [debug] 
08/24/25 - 01:17:26.031684 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:17:26.031751 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:17:26.031757 [debug] 
08/24/25 - 01:17:45.565297 [trace] Detected MessageBox movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:17:45.565357 [debug] Patches loaded for Interface/MessageBox.swf: 0
08/24/25 - 01:17:45.565363 [debug] 
08/24/25 - 01:17:45.568360 [trace] Detected DurabilityMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:17:45.568409 [debug] Patches loaded for Interface/DurabilityMenu.swf: 0
08/24/25 - 01:17:45.568417 [debug] 
08/24/25 - 01:18:15.313808 [trace] Detected DialogueMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:18:15.313863 [debug] Patches loaded for Interface/DialogueMenu.swf: 0
08/24/25 - 01:18:15.313868 [debug] 
08/24/25 - 01:18:15.316427 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:18:15.316474 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:18:15.316479 [debug] 
08/24/25 - 01:18:25.104763 [trace] Detected ContainerMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:18:25.104831 [debug] Patches loaded for Interface/ContainerMenu.swf: 0
08/24/25 - 01:18:25.104838 [debug] 
08/24/25 - 01:19:09.866640 [trace] Detected DialogueMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:19:09.866703 [debug] Patches loaded for Interface/DialogueMenu.swf: 0
08/24/25 - 01:19:09.866709 [debug] 
08/24/25 - 01:19:09.869522 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:19:09.869574 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:19:09.869580 [debug] 
08/24/25 - 01:19:36.515203 [trace] Detected DialogueMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:19:36.515272 [debug] Patches loaded for Interface/DialogueMenu.swf: 0
08/24/25 - 01:19:36.515279 [debug] 
08/24/25 - 01:19:36.517980 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:19:36.518030 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:19:36.518037 [debug] 
08/24/25 - 01:23:42.404726 [trace] Detected DialogueMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:23:42.404788 [debug] Patches loaded for Interface/DialogueMenu.swf: 0
08/24/25 - 01:23:42.404794 [debug] 
08/24/25 - 01:23:42.406529 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:23:42.406576 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:23:42.406582 [debug] 
08/24/25 - 01:25:06.914685 [trace] Detected DialogueMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:25:06.914750 [debug] Patches loaded for Interface/DialogueMenu.swf: 0
08/24/25 - 01:25:06.914757 [debug] 
08/24/25 - 01:25:06.916859 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:25:06.916907 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:25:06.916913 [debug] 
08/24/25 - 01:25:17.977999 [trace] Detected Quest_Journal movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:25:17.978063 [debug] Patches loaded for Interface/Quest_Journal.swf: 0
08/24/25 - 01:25:17.978070 [debug] 
08/24/25 - 01:25:17.982062 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:25:17.982107 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:25:17.982114 [debug] 
08/24/25 - 01:25:24.999519 [trace] Detected Map movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:25:24.999610 [debug] The path "D:\STOCK GAME\Data\Interface\InfinityUI\Map" exists, loading instance patches...
08/24/25 - 01:25:25.000683 [debug] Relative path is "InfinityUI\Map\WorldMap\LocalMapMenu\IconDisplayExtension.swf"
08/24/25 - 01:25:25.000699 [trace] Relative path to SWF: WorldMap\LocalMapMenu\IconDisplayExtension.swf
08/24/25 - 01:25:25.000721 [debug] Patch found at "D:\STOCK GAME\Data\Interface\InfinityUI\Map\WorldMap\LocalMapMenu\IconDisplayExtension.swf"
08/24/25 - 01:25:25.000746 [trace] Relative path to patch is: InfinityUI\Map\WorldMap\LocalMapMenu\IconDisplayExtension.swf
08/24/25 - 01:25:25.008139 [trace] New instance loaded!
08/24/25 - 01:25:25.008156 [trace] 
08/24/25 - 01:25:25.008167 [trace] _level0.localMapFader.MapClip: DisplayObject
08/24/25 - 01:25:25.008172 [trace] {
08/24/25 - 01:25:25.008177 [trace] 	var LocalMapRect: DisplayObject
08/24/25 - 01:25:25.008181 [trace] 	var Background: DisplayObject
08/24/25 - 01:25:25.008186 [trace] 	var LocalMapHolder_mc: DisplayObject
08/24/25 - 01:25:25.008190 [trace] 	var ClearedText: DisplayObject
08/24/25 - 01:25:25.008194 [trace] 	var MarkerClips: DisplayObject
08/24/25 - 01:25:25.008199 [trace] 	var markerDescriptionHolder: DisplayObject
08/24/25 - 01:25:25.008203 [trace] 	var LocationTextClip: DisplayObject
08/24/25 - 01:25:25.008207 [trace] 	var IconDisplayExtension: DisplayObject
08/24/25 - 01:25:25.008212 [trace] 	var _mapImageLoader: Object
08/24/25 - 01:25:25.008216 [trace] 	var TextureHolder: DisplayObject
08/24/25 - 01:25:25.008220 [trace] 	var IconDisplay: Object
08/24/25 - 01:25:25.008225 [trace] 	var _locationFinder: DisplayObject
08/24/25 - 01:25:25.008229 [trace] 	var _bottomBar: DisplayObject
08/24/25 - 01:25:25.008233 [trace] 	var ClearedDescription: DisplayObject
08/24/25 - 01:25:25.008238 [trace] 	var LocationDescription: DisplayObject
08/24/25 - 01:25:25.008243 [trace] }
08/24/25 - 01:25:25.008248 [trace] _level0.localMapFader.MapClip.IconDisplayExtension: DisplayObject
08/24/25 - 01:25:25.008252 [trace] {
08/24/25 - 01:25:25.008256 [trace] 	var extraMarkerContainer: DisplayObject
08/24/25 - 01:25:25.008261 [trace] 	var CREATE_STRIDE: Number
08/24/25 - 01:25:25.008265 [trace] 	var CREATE_ICONTYPE: Number
08/24/25 - 01:25:25.008269 [trace] 	var extraMarkers: Array
08/24/25 - 01:25:25.008273 [trace] }
08/24/25 - 01:25:25.008278 [trace] 
08/24/25 - 01:25:25.008382 [info] Patches loaded for Interface/Map.swf: 1
08/24/25 - 01:25:25.008387 [debug] 
08/24/25 - 01:25:25.010453 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:25:25.010497 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:25:25.010503 [debug] 
08/24/25 - 01:25:25.681009 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:25:25.681082 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:25:25.681088 [debug] 
08/24/25 - 01:25:30.839223 [trace] Detected MessageBox movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:25:30.839282 [debug] Patches loaded for Interface/MessageBox.swf: 0
08/24/25 - 01:25:30.839291 [debug] 
08/24/25 - 01:25:36.064941 [trace] Detected Quest_Journal movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:25:36.064998 [debug] Patches loaded for Interface/Quest_Journal.swf: 0
08/24/25 - 01:25:36.065004 [debug] 
08/24/25 - 01:25:36.069187 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:25:36.069233 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:25:36.069239 [debug] 
08/24/25 - 01:25:41.607352 [trace] Detected Map movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:25:41.607405 [debug] The path "D:\STOCK GAME\Data\Interface\InfinityUI\Map" exists, loading instance patches...
08/24/25 - 01:25:41.608388 [debug] Relative path is "InfinityUI\Map\WorldMap\LocalMapMenu\IconDisplayExtension.swf"
08/24/25 - 01:25:41.608403 [trace] Relative path to SWF: WorldMap\LocalMapMenu\IconDisplayExtension.swf
08/24/25 - 01:25:41.608417 [debug] Patch found at "D:\STOCK GAME\Data\Interface\InfinityUI\Map\WorldMap\LocalMapMenu\IconDisplayExtension.swf"
08/24/25 - 01:25:41.608437 [trace] Relative path to patch is: InfinityUI\Map\WorldMap\LocalMapMenu\IconDisplayExtension.swf
08/24/25 - 01:25:41.609108 [trace] New instance loaded!
08/24/25 - 01:25:41.609119 [trace] 
08/24/25 - 01:25:41.609129 [trace] _level0.localMapFader.MapClip: DisplayObject
08/24/25 - 01:25:41.609135 [trace] {
08/24/25 - 01:25:41.609142 [trace] 	var LocalMapRect: DisplayObject
08/24/25 - 01:25:41.609147 [trace] 	var Background: DisplayObject
08/24/25 - 01:25:41.609152 [trace] 	var LocalMapHolder_mc: DisplayObject
08/24/25 - 01:25:41.609156 [trace] 	var ClearedText: DisplayObject
08/24/25 - 01:25:41.609160 [trace] 	var MarkerClips: DisplayObject
08/24/25 - 01:25:41.609165 [trace] 	var markerDescriptionHolder: DisplayObject
08/24/25 - 01:25:41.609169 [trace] 	var LocationTextClip: DisplayObject
08/24/25 - 01:25:41.609174 [trace] 	var IconDisplayExtension: DisplayObject
08/24/25 - 01:25:41.609178 [trace] 	var _mapImageLoader: Object
08/24/25 - 01:25:41.609182 [trace] 	var TextureHolder: DisplayObject
08/24/25 - 01:25:41.609187 [trace] 	var IconDisplay: Object
08/24/25 - 01:25:41.609191 [trace] 	var _locationFinder: DisplayObject
08/24/25 - 01:25:41.609195 [trace] 	var _bottomBar: DisplayObject
08/24/25 - 01:25:41.609199 [trace] 	var ClearedDescription: DisplayObject
08/24/25 - 01:25:41.609203 [trace] 	var LocationDescription: DisplayObject
08/24/25 - 01:25:41.609208 [trace] }
08/24/25 - 01:25:41.609213 [trace] _level0.localMapFader.MapClip.IconDisplayExtension: DisplayObject
08/24/25 - 01:25:41.609217 [trace] {
08/24/25 - 01:25:41.609221 [trace] 	var extraMarkerContainer: DisplayObject
08/24/25 - 01:25:41.609226 [trace] 	var CREATE_STRIDE: Number
08/24/25 - 01:25:41.609230 [trace] 	var CREATE_ICONTYPE: Number
08/24/25 - 01:25:41.609234 [trace] 	var extraMarkers: Array
08/24/25 - 01:25:41.609238 [trace] }
08/24/25 - 01:25:41.609242 [trace] 
08/24/25 - 01:25:41.609324 [info] Patches loaded for Interface/Map.swf: 1
08/24/25 - 01:25:41.609328 [debug] 
08/24/25 - 01:25:41.612526 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:25:41.612567 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:25:41.612572 [debug] 
08/24/25 - 01:25:42.396490 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:25:42.396595 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:25:42.396606 [debug] 
08/24/25 - 01:25:47.900332 [trace] Detected Quest_Journal movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:25:47.900385 [debug] Patches loaded for Interface/Quest_Journal.swf: 0
08/24/25 - 01:25:47.900391 [debug] 
08/24/25 - 01:25:47.904614 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:25:47.904655 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:25:47.904660 [debug] 
08/24/25 - 01:25:48.389939 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:25:48.390008 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:25:48.390017 [debug] 
08/24/25 - 01:25:48.961935 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:25:48.961997 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:25:48.962002 [debug] 
08/24/25 - 01:25:52.287061 [trace] Detected Map movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:25:52.287107 [debug] The path "D:\STOCK GAME\Data\Interface\InfinityUI\Map" exists, loading instance patches...
08/24/25 - 01:25:52.287832 [debug] Relative path is "InfinityUI\Map\WorldMap\LocalMapMenu\IconDisplayExtension.swf"
08/24/25 - 01:25:52.287843 [trace] Relative path to SWF: WorldMap\LocalMapMenu\IconDisplayExtension.swf
08/24/25 - 01:25:52.287853 [debug] Patch found at "D:\STOCK GAME\Data\Interface\InfinityUI\Map\WorldMap\LocalMapMenu\IconDisplayExtension.swf"
08/24/25 - 01:25:52.287871 [trace] Relative path to patch is: InfinityUI\Map\WorldMap\LocalMapMenu\IconDisplayExtension.swf
08/24/25 - 01:25:52.288589 [trace] New instance loaded!
08/24/25 - 01:25:52.288600 [trace] 
08/24/25 - 01:25:52.288609 [trace] _level0.localMapFader.MapClip: DisplayObject
08/24/25 - 01:25:52.288614 [trace] {
08/24/25 - 01:25:52.288619 [trace] 	var LocalMapRect: DisplayObject
08/24/25 - 01:25:52.288623 [trace] 	var Background: DisplayObject
08/24/25 - 01:25:52.288627 [trace] 	var LocalMapHolder_mc: DisplayObject
08/24/25 - 01:25:52.288632 [trace] 	var ClearedText: DisplayObject
08/24/25 - 01:25:52.288636 [trace] 	var MarkerClips: DisplayObject
08/24/25 - 01:25:52.288640 [trace] 	var markerDescriptionHolder: DisplayObject
08/24/25 - 01:25:52.288645 [trace] 	var LocationTextClip: DisplayObject
08/24/25 - 01:25:52.288649 [trace] 	var IconDisplayExtension: DisplayObject
08/24/25 - 01:25:52.288653 [trace] 	var _mapImageLoader: Object
08/24/25 - 01:25:52.288657 [trace] 	var TextureHolder: DisplayObject
08/24/25 - 01:25:52.288662 [trace] 	var IconDisplay: Object
08/24/25 - 01:25:52.288666 [trace] 	var _locationFinder: DisplayObject
08/24/25 - 01:25:52.288670 [trace] 	var _bottomBar: DisplayObject
08/24/25 - 01:25:52.288674 [trace] 	var ClearedDescription: DisplayObject
08/24/25 - 01:25:52.288679 [trace] 	var LocationDescription: DisplayObject
08/24/25 - 01:25:52.288684 [trace] }
08/24/25 - 01:25:52.288689 [trace] _level0.localMapFader.MapClip.IconDisplayExtension: DisplayObject
08/24/25 - 01:25:52.288693 [trace] {
08/24/25 - 01:25:52.288697 [trace] 	var extraMarkerContainer: DisplayObject
08/24/25 - 01:25:52.288702 [trace] 	var CREATE_STRIDE: Number
08/24/25 - 01:25:52.288706 [trace] 	var CREATE_ICONTYPE: Number
08/24/25 - 01:25:52.288710 [trace] 	var extraMarkers: Array
08/24/25 - 01:25:52.288715 [trace] }
08/24/25 - 01:25:52.288719 [trace] 
08/24/25 - 01:25:52.288798 [info] Patches loaded for Interface/Map.swf: 1
08/24/25 - 01:25:52.288802 [debug] 
08/24/25 - 01:25:52.290820 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:25:52.290860 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:25:52.290866 [debug] 
08/24/25 - 01:25:53.048144 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:25:53.048208 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:25:53.048214 [debug] 
08/24/25 - 01:25:56.806609 [trace] Detected MessageBox movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:25:56.806668 [debug] Patches loaded for Interface/MessageBox.swf: 0
08/24/25 - 01:25:56.806674 [debug] 
08/24/25 - 01:26:12.424584 [trace] Detected MessageBox movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:26:12.424641 [debug] Patches loaded for Interface/MessageBox.swf: 0
08/24/25 - 01:26:12.424647 [debug] 
08/24/25 - 01:26:12.427779 [trace] Detected DurabilityMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:26:12.427842 [debug] Patches loaded for Interface/DurabilityMenu.swf: 0
08/24/25 - 01:26:12.427849 [debug] 
08/24/25 - 01:29:35.254859 [trace] Detected Map movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:29:35.254907 [debug] The path "D:\STOCK GAME\Data\Interface\InfinityUI\Map" exists, loading instance patches...
08/24/25 - 01:29:35.255598 [debug] Relative path is "InfinityUI\Map\WorldMap\LocalMapMenu\IconDisplayExtension.swf"
08/24/25 - 01:29:35.255610 [trace] Relative path to SWF: WorldMap\LocalMapMenu\IconDisplayExtension.swf
08/24/25 - 01:29:35.255620 [debug] Patch found at "D:\STOCK GAME\Data\Interface\InfinityUI\Map\WorldMap\LocalMapMenu\IconDisplayExtension.swf"
08/24/25 - 01:29:35.255638 [trace] Relative path to patch is: InfinityUI\Map\WorldMap\LocalMapMenu\IconDisplayExtension.swf
08/24/25 - 01:29:35.256311 [trace] New instance loaded!
08/24/25 - 01:29:35.256322 [trace] 
08/24/25 - 01:29:35.256331 [trace] _level0.localMapFader.MapClip: DisplayObject
08/24/25 - 01:29:35.256336 [trace] {
08/24/25 - 01:29:35.256341 [trace] 	var LocalMapRect: DisplayObject
08/24/25 - 01:29:35.256346 [trace] 	var Background: DisplayObject
08/24/25 - 01:29:35.256350 [trace] 	var LocalMapHolder_mc: DisplayObject
08/24/25 - 01:29:35.256355 [trace] 	var ClearedText: DisplayObject
