08/24/25 - 01:03:52.068668 [trace] 	var Magicka_mc: DisplayObject
08/24/25 - 01:03:52.068673 [trace] 	var pos_fHealthPos: Object
08/24/25 - 01:03:52.068678 [trace] 	var CompassCard: DisplayObject
08/24/25 - 01:03:52.068683 [trace] 	var StaminaPenaltyMeterAlt: DisplayObject
08/24/25 - 01:03:52.068689 [trace] 	var cfg_bLockAnimatedLetters: Number
08/24/25 - 01:03:52.068694 [trace] 	var cfg_bAltHealth: Number
08/24/25 - 01:03:52.068699 [trace] 	var CompassMarkerPlayerSet: Number
08/24/25 - 01:03:52.068705 [trace] 	var Health_mc: DisplayObject
08/24/25 - 01:03:52.068711 [trace] 	var ShoutMeterBar: DisplayObject
08/24/25 - 01:03:52.068716 [trace] 	var cfg_bLockMagickaMeter: Number
08/24/25 - 01:03:52.068721 [trace] 	var cfg_bShowClock: Number
08/24/25 - 01:03:52.068726 [trace] 	var cfg_bAltCompass: Number
08/24/25 - 01:03:52.068732 [trace] 	var pos_fActivateBarPos: Object
08/24/25 - 01:03:52.068737 [trace] 	var RightChargeMeter: Object
08/24/25 - 01:03:52.068743 [trace] 	var LeftChargeMeterAlt: Object
08/24/25 - 01:03:52.068748 [trace] 	var pos_fMessageInfoPos: Object
08/24/25 - 01:03:52.068753 [trace] 	var cfg_bStealthTextVisible: Number
08/24/25 - 01:03:52.068759 [trace] 	var cfg_bLockLeftChargeMeter: Number
08/24/25 - 01:03:52.068764 [trace] 	var pos_fMagicaPos: Object
08/24/25 - 01:03:52.068769 [trace] 	var CompassMarkerLocations: Number
08/24/25 - 01:03:52.068774 [trace] 	var StaminaBar: DisplayObject
08/24/25 - 01:03:52.068779 [trace] 	var cfg_bShowSeconds: Number
08/24/25 - 01:03:52.068785 [trace] 	var cfg_bLockAltChargeMeter: Number
08/24/25 - 01:03:52.068790 [trace] 	var cfg_bLockObjectiveText: Number
08/24/25 - 01:03:52.068795 [trace] 	var cfg_uPersistentMeter: Number
08/24/25 - 01:03:52.068801 [trace] 	var ShoutMeter_mc: Object
08/24/25 - 01:03:52.068806 [trace] 	var cfg_bStealthMeterVisible: Number
08/24/25 - 01:03:52.068811 [trace] 	var pos_fCrosshairPos: Object
08/24/25 - 01:03:52.068817 [trace] 	var scl_fObjectiveText: Number
08/24/25 - 01:03:52.068822 [trace] 	var scl_fLocationInfo: Number
08/24/25 - 01:03:52.068827 [trace] 	var pos_fAltChargeMeterPos: Object
08/24/25 - 01:03:52.068832 [trace] 	var scl_fArrowInfo: Number
08/24/25 - 01:03:52.068838 [trace] 	var StaminaPenaltyMeter: DisplayObject
08/24/25 - 01:03:52.068843 [trace] 	var CompassCardAlt: DisplayObject
08/24/25 - 01:03:52.068848 [trace] 	var pos_fEnemyHealthPos: Object
08/24/25 - 01:03:52.068853 [trace] 	var RolloverGrayBar_mc: DisplayObject
08/24/25 - 01:03:52.068859 [trace] 	var ShoutWarning: DisplayObject
08/24/25 - 01:03:52.068864 [trace] 	var cfg_bLockRightChargeMeter: Number
08/24/25 - 01:03:52.068869 [trace] 	var cfg_bLockCompass: Number
08/24/25 - 01:03:52.068874 [trace] 	var cfg_bHideEnemyMarker: Number
08/24/25 - 01:03:52.068880 [trace] 	var scl_fSubtitle: Number
08/24/25 - 01:03:52.068885 [trace] 	var cfg_bLockHealthMeter: Number
08/24/25 - 01:03:52.068890 [trace] 	var scl_fEnemyHealth: Number
08/24/25 - 01:03:52.068895 [trace] 	var StaminaMeterAnim: DisplayObject
08/24/25 - 01:03:52.068901 [trace] 	var cfg_bLockLevelUpMeter: Number
08/24/25 - 01:03:52.068906 [trace] 	var HealthMeterLeft: Object
08/24/25 - 01:03:52.068911 [trace] 	var cfg_bDebug: Undefined
08/24/25 - 01:03:52.068916 [trace] 	var scl_fCrosshair: Number
08/24/25 - 01:03:52.068921 [trace] 	var clock: Object
08/24/25 - 01:03:52.068927 [trace] 	var MagickaMeterAnim: DisplayObject
08/24/25 - 01:03:52.068932 [trace] 	var pos_fLocationInfoPos: Object
08/24/25 - 01:03:52.068937 [trace] 	var HealthBarAlt: DisplayObject
