[2025-08-17 22:03:57.018] [Global] [info] [43164] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVActorValueOwner@@
[2025-08-17 22:03:57.018] [Global] [info] [43164] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVActorState@@
[2025-08-17 22:03:57.018] [Global] [info] [36428] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AUIMovementInterface@@
[2025-08-17 22:03:57.018] [Global] [info] [36428] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AV?$BSTEventSink@VBSTransformDeltaEvent@@@@
[2025-08-17 22:03:57.018] [Global] [info] [36428] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AV?$BSTEventSink@VbhkCharacterMoveFinishEvent@@@@
[2025-08-17 22:03:57.018] [Global] [info] [36428] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVIPostAnimationChannelUpdateFunctor@@
[2025-08-17 22:03:57.018] [Global] [info] [43164] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AUIMovementState@@
[2025-08-17 22:03:57.018] [Global] [info] [43164] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AUIMovementInterface@@
[2025-08-17 22:03:57.018] [Global] [info] [43164] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AV?$BSTEventSink@VBSTransformDeltaEvent@@@@
[2025-08-17 22:03:57.018] [Global] [info] [43164] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AV?$BSTEventSink@VbhkCharacterMoveFinishEvent@@@@
[2025-08-17 22:03:57.018] [Global] [info] [43164] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVIPostAnimationChannelUpdateFunctor@@
[2025-08-17 22:03:57.018] [Global] [info] [41836] [Introspection.cpp:1572] Found unhandled type:	(BGSPackageDataBool*)	.?AVBGSPackageDataBool@@
[2025-08-17 22:03:57.018] [Global] [info] [41836] [Introspection.cpp:1572] Found unhandled type:	(BGSPackageDataBool*)	.?AV?$BGSNamedPackageData@VIPackageData@@@@
[2025-08-17 22:03:57.018] [Global] [info] [41836] [Introspection.cpp:1572] Found unhandled type:	(BGSPackageDataBool*)	.?AVIPackageData@@
[2025-08-17 22:03:57.018] [Global] [info] [30264] [Introspection.cpp:1572] Found unhandled type:	(BGSPackageDataLocation*)	.?AVBGSPackageDataLocation@@
[2025-08-17 22:03:57.018] [Global] [info] [30264] [Introspection.cpp:1572] Found unhandled type:	(BGSPackageDataLocation*)	.?AV?$BGSPackageDataPointerTemplate@VIPackageDataAIWorldLocationHandle@@VPackageLocation@@$1?kPackageDataLocationTypeName@@3VBSFixedString@@B@@
[2025-08-17 22:03:57.018] [Global] [info] [30264] [Introspection.cpp:1572] Found unhandled type:	(BGSPackageDataLocation*)	.?AV?$BGSNamedPackageData@VIPackageDataAIWorldLocationHandle@@@@
[2025-08-17 22:03:57.018] [Global] [info] [30264] [Introspection.cpp:1572] Found unhandled type:	(BGSPackageDataLocation*)	.?AVIPackageDataAIWorldLocationHandle@@
[2025-08-17 22:03:57.018] [Global] [info] [30264] [Introspection.cpp:1572] Found unhandled type:	(BGSPackageDataLocation*)	.?AVIAIWorldLocationHandle@@
[2025-08-17 22:03:57.018] [Global] [info] [36428] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVActor@@
[2025-08-17 22:03:57.018] [Global] [info] [43812] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVActor@@
[2025-08-17 22:03:57.018] [Global] [info] [41932] [Introspection.cpp:1572] Found unhandled type:	(BGSPackageDataRef*)	.?AVBGSPackageDataRef@@
[2025-08-17 22:03:57.018] [Global] [info] [36428] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVBaseFormComponent@@
[2025-08-17 22:03:57.018] [Global] [info] [36428] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVBSHandleRefObject@@
[2025-08-17 22:03:57.018] [Global] [info] [36428] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVNiRefObject@@
[2025-08-17 22:03:57.018] [Global] [info] [36428] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AV?$BSTEventSink@UBSAnimationGraphEvent@@@@
[2025-08-17 22:03:57.018] [Global] [info] [43032] [Introspection.cpp:1572] Found unhandled type:	(BGSProcedurePursue*)	.?AVBGSProcedurePursue@@
[2025-08-17 22:03:57.018] [Global] [info] [39808] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVActor@@
[2025-08-17 22:03:57.018] [Global] [info] [41836] [Introspection.cpp:1572] Found unhandled type:	(BGSProcedureFollowExecState*)	.?AVBGSProcedureFollowExecState@@
[2025-08-17 22:03:57.019] [Global] [info] [41444] [Introspection.cpp:1572] Found unhandled type:	(BGSProcedureTreeProcedure*)	.?AVBGSProcedureTreeProcedure@@
[2025-08-17 22:03:57.018] [Global] [info] [43560] [Introspection.cpp:1572] Found unhandled type:	(BGSProcedureFollowExecState*)	.?AVBGSProcedureFollowExecState@@
[2025-08-17 22:03:57.019] [Global] [info] [35960] [Introspection.cpp:1572] Found unhandled type:	(TESPackage*)	.?AVTESPackage@@
[2025-08-17 22:03:57.018] [Global] [info] [30264] [Introspection.cpp:1572] Found unhandled type:	(BGSPackageDataLocation*)	.?AVIPackageData@@
[2025-08-17 22:03:57.019] [Global] [info] [35512] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVActor@@
[2025-08-17 22:03:57.019] [Global] [info] [39584] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVActor@@
[2025-08-17 22:03:57.019] [Global] [info] [39312] [Introspection.cpp:1572] Found unhandled type:	(BGSVisitProceduresProcess*)	.?AVBGSVisitProceduresProcess@@
[2025-08-17 22:03:57.019] [Global] [info] [43812] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVBaseFormComponent@@
[2025-08-17 22:03:57.019] [Global] [info] [36428] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVIAnimationGraphManagerHolder@@
